"Source:","C:\Users\denis\Dropbox\Projects\digirig.net\electric\digirig-mobile\digirig-mobile.kicad_sch"
"Date:","2/21/2022 20:11:28"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","56"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, C9, C15, C18, C20, C21, C22, ","8","10uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C2, C4, C5, C8, C10, C11, C12, C13, C14, C19, ","10","100nF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C6, C7, C16, C17, C23, C24, ","6","27pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"D1, ","1","GS2005ELD","D","Diode_SMD:D_SOD-923","Diode",""
"J1, ","1","USB","USB_C_Receptacle_USB2.0","footprints:USB_C_Receptacle_HRO_TYPE-C-31-M-12","USB 2.0-only Type-C Receptacle connector",""
"J2, ","1","Serial, 3V3","AudioJack4","footprints:TRRS-PJ-320A","Audio Jack, 4 Poles (TRRS)",""
"J3, ","1","Audio, PTT","AudioJack4","footprints:TRRS-PJ-320A","Audio Jack, 4 Poles (TRRS)",""
"Q1, Q2, ","2","MMBT5551L","MMBT5551L","Package_TO_SOT_SMD:SOT-23","0.6A Ic, 160V Vce, NPN Transistor, SOT-23",""
"R1, R10, R15, R17, R18, ","5","12K","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R2, ","1","27K","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R3, R5, ","2","5K1","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R4, R6, R7, R8, R16, R19, ","6","100K","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R9, R14, ","2","1M","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R11, R12, ","2","33","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"R13, ","1","1K5","R_Small_US","Resistor_SMD:R_0402_1005Metric","Resistor, small US symbol",""
"TH1, ","1","0.02A","Thermistor_PTC","Resistor_SMD:R_0603_1608Metric","Temperature dependent resistor, positive temperature coefficient",""
"U1, ","1","CP2102N-A02-GQFN24","CP2102N-A01-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","",""
"U2, ","1","USB2412-DZK-TR","USB2412-DZK-TR","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","",""
"U3, ","1","ADM3101E","ADM3101E","Package_DFN_QFN:QFN-12-1EP_3x3mm_P0.51mm_EP1.45x1.45mm","",""
"U4, ","1","CM108","CM108","Package_QFP:LQFP-48_7x7mm_P0.5mm","",""
"Y1, ","1","24MHz","Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4",""
"Y2, ","1","12MHz","Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4",""
